title	director	cast	country	rating	listed_in	description	show_id	release_year	date_added	duration
Genius of the Modern World		Bettany Hughes	United Kingdom	TV-14	British TV Shows, Docuseries, International TV Shows	Historian Bettany Hughes explores the intellectual landscapes that helped shape the work of Karl Marx, Friedrich Nietzsche and Sigmund Freud.	80186252	2016		1
Have You Ever Fallen in Love, Miss Jiang?		Lan Cheng-lung, Esther Yeh, He Yu-chen, Greg Han		TV-MA	Crime TV Shows, International TV Shows, TV Dramas	A new teacher finds herself in an unenviable situation after witnessing a troubling interaction between an administrator and a student.	80185427	2016		1
Hogie the Globehopper		Mae Elliessa	United States	TV-Y	Kids' TV	Hogie and his friends travel the world, exploring far-flung locales like Buenos Aires, Cairo, Hawaii and the Galapagos Islands.	80176179	2016		1
Life Plan A and B		Rainie Yang, Yan Yu-lin, Johnny Lu, Chang Fu-chien, Chen Chi-hsia	Taiwan	TV-PG	International TV Shows, Romantic TV Shows, TV Dramas	Two parallel life paths begin for a man and woman in love after she is offered a lucrative promotion far away and must choose between love and career.	80184595	2016		1
Locust		Pyotr Fyodorov, Paulina Andreeva, Dmitry Shevchenko, Aleksey Gorbunov, Evgeniya Dmitrieva, Maksim Pinsker	Russia	TV-MA	Crime TV Shows, International TV Shows, Romantic TV Shows	A torrid affair between a passionate lowborn poet and a wealthy Moscow heiress is engulfed by class difference, criminality and, eventually, murder.	80166481	2014		1
Love Storm		Chris Wu, Chen Yu, Greg Han, Esther Yeh, Yeh Chen-Ting, Deng Yu-kai		TV-PG	International TV Shows, Romantic TV Shows, TV Comedies	Three grown siblings must rethink their idea of family when they learn their parents are getting divorced and have their eyes on new partners.	80184684	2016		1
Nurses Who Kill			United Kingdom	TV-14	British TV Shows, Crime TV Shows, Docuseries	Top medical, criminal and psychological experts analyze the motives and methods of nurses who use their positions to kill rather than heal.	80185622	2016		1
The In-Laws		Louise Lee, Rui En, Pierre Png, Darren Lim, Cynthia Koh, Belinda Lee		TV-14	International TV Shows, TV Dramas	She swore not to meddle in her kids' lives like her mother-in-law meddled in hers. But when her sons get married, that vow proves not so easy to keep.	80157528	2011		1
Winter Sun		Şükrü Özyıldız, Aslı Enver, Şenay Gürler, Başak Parlak, Mahir Günşiray, Hakan Boyav, Hakan Gerçek, Berrak Kuş, Gamze Süner Atay, Mehmet Esen	Turkey	TV-14	International TV Shows, TV Dramas, TV Thrillers	Years after ruthless businessmen kill his father and order the death of his twin brother, a modest fisherman adopts a new persona to exact revenge.	80119381	2014		1
World War II in Colour		Robert Powell	United Kingdom	NR	British TV Shows, Docuseries, International TV Shows	Footage of the most dramatic moments from World War II is restored in color and high definition for this historical documentary series.	70254851	2009		1
Autumn's Concerto		Ady An, Vanness Wu, Ann Hsu, Chris Wu, Xiao Xiao Bin	Taiwan	TV-14	International TV Shows, Romantic TV Shows, TV Dramas	After losing all memories of his past, a wealthy lawyer travels to a rural village where a woman he once loved now lives with her son.	70303287	2009		1
Battlefield Recovery			United Kingdom	TV-PG	British TV Shows, Docuseries, Reality TV	A four-man team heads to Latvia and Poland to unearth rare World War II artifacts and shed new light on the bloody battles of the Eastern Front.	80109640	2016		1
Cocaine			United Kingdom	TV-14	British TV Shows, Crime TV Shows, Docuseries	Three films chronicle the cocaine trade's sweeping impact on the citizens of Peru, Brazil and Colombia, from poor farmers to powerful drug lords.	80106150	2005		1
Edge of the Universe			United Kingdom	TV-G	British TV Shows, Docuseries, Science & Nature TV	Leading astronomers reveal the latest discoveries about death-trap planets, asteroids, comets and other wonders of the cosmos.	80106338	2008		1
La Esclava Blanca		Nerea Camacho, Orián Suárez, Miguel de Miguel, Modesto Lacen, Norma Martínez, Ricardo Vesga, Viña Machado, Andrés Suárez, Natasha Klauss, Miroslava Morales	Colombia	TV-14	International TV Shows, Spanish-Language TV Shows, TV Dramas	In Colombia in 1821, a white orphan is taken in by black slaves. Years after being torn from them, she returns to find her family and childhood love.	80108473	2016		1
Love Cuisine		Lego Lee, Allison Lin, Duncan Chow, Nita Lei, Hank Wu, Calvin Lee, Fu Lei	Taiwan	TV-PG	International TV Shows, Romantic TV Shows, TV Comedies	A successful Taiwanese chef moves home from Europe to teach at a cooking school. He soon clashes with a pretty teacher he met under odd circumstances.	80106611	2015		1
Miss Rose		Roy Chiu, Megan Lai, Paul Hsu, Tia Lee, Chunya Chao, Puff Kuo, Blaire Chang	Taiwan	TV-14	International TV Shows, Romantic TV Shows, TV Comedies	Resolving to get married soon, hardworking Si-yi finds love in an unexpected place, but her ex and her job interfere with her plans.	80108494	2015		1
Office Girls		Roy Chiu, Alice Ko, Tia Lee, Patrick Lee, Kuo Shu-yao, James Wen, Janel Tsai	Taiwan	TV-14	International TV Shows, Romantic TV Shows, TV Comedies	A department store mogul has his son work incognito in a menial job to prove his worthiness, while female co-workers teach him how normal people live.	80108773	2011		1
Queen of No Marriage		Ethan Juan, Cheryl Yang, Harry Chang, Sylvia Yang, James Wen, Patrick Lee	Taiwan	TV-14	International TV Shows, Romantic TV Shows, TV Comedies	Sparks begin to fly when a successful 33-year-old single woman and a 25-year-old romantic with few prospects navigate love and differences.	80108844	2009		1
The Prince Who Turns into a Frog		Joe Chen, Ming Dao, Sam Wang, Joyce Chao, Gino, Su Li-hsin, Wang Chuan, Ehlo Huang	Taiwan	TV-14	International TV Shows, Romantic TV Shows, TV Comedies	Before his wedding, a cold CEO is hit by a car and awakens a changed man. As he and the driver fall in love, more changes appear on the road ahead.	80108846	2005		1
Two Fathers		Weber Yang, Lin Yo-Wei, Megan Lai, Amanda Chou, Lucia Xie, Cherry Leung	Taiwan	TV-14	International TV Shows, Romantic TV Shows, TV Comedies	When two single guys learn a woman they both slept with disappeared after giving birth, they decide to raise her baby girl together as a family.	80108847	2013		1
AMO		Derek Ramsay, Vince Rillon, Allen Dizon, Felix Roco, Ruby Ruiz	Philippines	TV-MA	International TV Shows, TV Dramas	Despite the Philippine government's crackdown on narcotics, high schooler Joseph expands his drug running while his cop uncle profits from corruption.	80218962	2017		1
Residue		Natalia Tena, Iwan Rheon, Jamie Draven, Danny Webb, Franz Drameh, Adrian Schiller, Eleanor Matsuura, Brian Ferguson, Emilia Jones, Tom Goodman-Hill	United Kingdom	TV-MA	British TV Shows, International TV Shows, TV Horror	After a freak explosion wreaks havoc on a sprawling city of the future, eight survivors get caught up in the aftermath and its paranormal effects.	80035480	2015		1
Time: The Kalief Browder Story			United States	TV-MA	Docuseries	This series traces the tragic case of Kalief Browder, a Bronx teen who spent three horrific years in jail, despite never being convicted of a crime.	80187052	2017		1
Troy		Louis Hunter, Bella Dayne, Frances O'Connor, David Threlfall, Chloe Pirrie, Tom Weston-Jones, Alfred Enoch, Jonas Armstrong	United Kingdom, South Africa, Australia, United States	TV-MA	British TV Shows, International TV Shows, Romantic TV Shows	Searching for the woman promised to him by Aphrodite, herdsman Paris learns his true identity and falls for Helen of Sparta, igniting the Trojan War.	80175352	2018		1
Legacies		Danielle Rose Russell, Aria Shahghasemi, Kaylee Bryant, Jenny Boyd, Quincy Fouse, Peyton Alex Smith, Matthew Davis, Archie L. Winston	United States	TV-14	TV Dramas, TV Sci-Fi & Fantasy, Teen TV Shows	Born into a rare supernatural bloodline, Hope Mikaelson attends a gifted private school to master her powers and control her innate urges for evil.	81013015	2018		1
Our Planet		David Attenborough	United States, United Kingdom	TV-G	Docuseries, Science & Nature TV	Experience our planet's natural beauty and examine how climate change impacts all living creatures in this ambitious documentary of spectacular scope.	80049832	2019		1
Quicksand		Hanna Ardéhn, Felix Sandman, William Spetz, Ella Rappich, David Dencik, Reuben Sallmander, Maria Sundbom, Rebecka Hemse, Arvid Sand, Helena af Sandeberg, Anna Björk	Sweden	TV-MA	Crime TV Shows, International TV Shows, TV Dramas	After a tragedy at a school sends shock waves through a wealthy Stockholm suburb, a seemingly well-adjusted teen finds herself on trial for murder.	80211703	2019		1
Rimba Racer		Steven Tan, Iain McNally, Chi-Ren Choong, Kevin Adrian Barnaby, Tikriti Shabudin, Sherilyn Pang Li Ching, Azman Zulkiply	Malaysia	TV-Y7	Kids' TV	In this animated action series, a rookie driver seeks glory in a world-class auto race, but he’ll need more than just his talent behind the wheel.	81044607	2017		1
Tijuana		Damián Alcázar, Tamara Vallarta, Rolf Petersen, Claudette Maillé, Teté Espinoza, Iván Aragón, Martha Claudia Moreno, Edén Villavicencio, Carlos Corona, Giancarlo Ruiz, Mayra Batalla, Rodrigo Abed, Roberto Mateos, Anabel Ferreira, Roberto Sosa	Mexico	TV-14	Crime TV Shows, International TV Shows, Spanish-Language TV Shows	When a prominent politician is murdered, the intrepid journalists of Frente Tijuana risk their lives to uncover the truth.	80241474	2019		1
American Odyssey		Anna Friel, Peter Facinelli, Jake Robinson, Jim True-Frost, Treat Williams, Sadie Sink, Omar Ghazaoui, Nate Mooney, Elena Kampouris, Daniella Pineda, Adewale Akinnuoye-Agbaje	United States	TV-14	TV Dramas, TV Thrillers	An elite soldier, a corporate lawyer and a political activist uncover a deadly conspiracy linking terrorists to a powerful American corporation.	80026032	2015		1
Possessed		Song Sae-byeok, Go Joon-hee, Youn Jung-hoon, Jo Han-sun, Lee Won-jong, Park Gene-woo, Kwon Hyuk-hyun, Park Sang-min	South Korea	TV-14	Crime TV Shows, International TV Shows, Korean TV Shows	A reluctant clairvoyant joins forces with a brusque police detective hiding a soft heart to help him solve criminal cases using her psychic abilities.	81087764	2019		1
Angel 'N' Devil		Simon Lian, Teddy Chen, Sylvia Wang, Cosmos Lin, Ting Liu, Lucia Chen, Allie Ji, Sunnee Yang, Na Wei-hsun	Taiwan	TV-14	International TV Shows, TV Action & Adventure, TV Comedies	In a world known as the Copper Dimension, a group of high-school girls fights against dark forces – and their own inner demons.	81072852	2014		1
Hong Kong West Side Stories		Louis Cheung, Myolie Wu, Justin Cheung, Brian Chan, Raymond Chiu, Fish Liew, Lee Sheung Ching, Kaki Sham, Gregory Wong, Thor Lok	Hong Kong	TV-MA	International TV Shows, TV Comedies, TV Dramas	The intimate lives of young men and women from Hong Kong are linked by loosely connected stories about love, lust, separation and deceit.	81050394	2018		1
Ingress: The Animation		Yoshiki Nakajima, Reina Ueda, Shigeo Kiyama, Tarusuke Shingaki, Kohsuke Toriumi, Kentaro Tone, Hiroo Sasaki, Megumi Ogata	Japan	TV-MA	Anime Series, Crime TV Shows, International TV Shows	After scientists discover a mysterious substance that can influence human minds, two factions wage an all-out battle to control its awesome power.	80992853	2018		1
K.O. One Re-act		Jiro Wang, Pets Tseng, Sam Lin, Sylvia Wang, Wes Lo, Wayne Huang, Xu Ming-jie, Ba Yu, Emily Tsai, Chen Bo-zheng, Nylon Chen, Na Wei-hsun	Taiwan	TV-14	International TV Shows, TV Comedies, TV Dramas	As a guardian of space-time order, 28-year-old Wang Dadong returns to Bale High School to investigate an anomaly and clashes with King.	81072951	2013		1
K.O.3an Guo		George Hu, Chen De-xiu, Bo Yan, Lorene Ren, Tsai Yi-chen, Benjamin H. Wang, Wes Lo, Shao Xiang, Pets Tseng, Nylon Chen, Wu Xiong	Taiwan	TV-14	International TV Shows, TV Comedies, TV Sci-Fi & Fantasy	In the Silver Dimension, Liu Bei, Guan Yu and Zhang Fei plan to enroll in an elite academy as sworn brothers, but KO One visitors derail the plan.	81072752	2009		1
KO One Return		Jiro Wang, Pets Tseng, Sam Lin, Xu Ming-jie, Sylvia Wang, Monkey Shao, Zhang Hao Ming, Na Wei-hsun	Taiwan	TV-14	International TV Shows, TV Comedies, TV Dramas	A time quake propels Wang Dadong into the future, where he encounters a classmate named King who presides over the KO One.	81072919	2012		1
The Outsiders		Dylan Kuo, Ady An, Lan Cheng-Lung, Michael Chang, Joelle Lu	Taiwan	TV-MA	Crime TV Shows, International TV Shows, Romantic TV Shows	A trio of delinquent brothers fends off neighborhood rivals until one joins a gang to gain protection for the upper-class girl he loves.	81072883	2004		1
Black Crows		Rashed Al Shamrani, Sayed Rajab, Dina Talaat, Mohamad Al Ahmad, Maram Al Bloushi, Mahmoud Bu Shehri, Aseel Omran, Mona Shaddad, Azeez Khayoun, Ayman Mabrouk, Eisa Diab, Dima Al Jundi	Saudi Arabia, Syria, Egypt, Lebanon, Kuwait	TV-MA	International TV Shows, TV Dramas	This drama portrays women and kids living under the Islamic State group: a Yazidi slave, an undercover reporter, a recruited mom and child snipers.	80217848	2017		1
Tango		Bassel Khayyat, Daniella Rahme, Bassam Moughneih, Dana Mardini, Youssef Haddad, Talal Jarday, Sameera Barody	Lebanon	TV-14	International TV Shows, Romantic TV Shows, TV Dramas	Shocking secrets begin to unravel when the aftermath of a car crash leaves four best friends questioning the truth of their relationships.	81049578	2018		1
Jumping Girl		Luna, U-kwon, Ha-na Jung, B-Bomb, Ha-seong Park	South Korea	TV-14	International TV Shows, Korean TV Shows, Romantic TV Shows	Sang-ah would do anything to shield pop star Ah-shin from rabid fans. But after an act of protection gone wrong, it looks like she's the crazy one.	80162136	2015		1
President		Su-jong Choi, Hee-Ra Ha, Jay Kim, Ji-hye Wang, Shin-il Kang	South Korea	TV-14	International TV Shows, Korean TV Shows, TV Dramas	An ambitious, talented politician embarks on an intense journey toward winning the presidency while juggling his complicated family affairs.	80154638	2010		1
What in the World Happened?		Eun-mi Go, Jaehyo, Eun-Hyung Jo, Ha-yeon Kim, Shin Yi, Kwang-sun Park		TV-14	International TV Shows, Korean TV Shows, Romantic TV Shows	A happy secret romance between a 40-year-old woman and a 25-year-old man is complicated after a greeting card grants her wish to be young again.	80162131	2015		1
Africa		David Attenborough	United Kingdom	TV-PG	British TV Shows, Docuseries, International TV Shows	This five-part nature series chronicles fascinating stories of survival on the African continent, home to the most diverse animal life on the planet.	70298341	2013		1
Bobby Kennedy for President	Dawn Porter	Robert F. Kennedy		TV-MA	Docuseries	"Historic footage and leading voices of the era examine the \"Bobby Phenomenon\" of the 1960s and the legacy of the man who helped redefine the country."	80174282	2018		1
Dancing Angels				TV-PG	International TV Shows, Romantic TV Shows, TV Comedies	A group of aspiring young musicians yearn for stardom while navigating the ups and downs of friendship, romance, and life at school.	80136793	2016		1
Moving On		Irene Santiago, Gary Estrada, Ariel Rivera, Patrick Theo, Louise Chong, Mano Maniam, Jojo Struys, Alvin Wong		TV-14	International TV Shows, TV Dramas	Family problems, relationship issues and professional challenges dog law graduate Melissa Chan following her return from London to Malaysia.	80136794	2016		1
REA(L)OVE		Atsushi Tamura, Mari Yaguchi	Japan	TV-MA	International TV Shows, Reality TV, Romantic TV Shows	A group of men and women, each burdened with a dark secret, look for love in this dating show with a twist. Hosted by reformed playboy Atsushi Tamura.	80226927	2018		1
The New Legends of Monkey		Chai Hansen, Luciane Buchanan, Josh Thomson, Emilie Cocquerel, Josh McKenzie, Jordan Mooney, Jarred Blakiston	Australia, New Zealand	TV-PG	Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy	A valiant girl liberates the Monkey King – a god long trapped in stone – in a quest to find seven sacred scrolls and save the world from evil.	80184682	2018		1
Trio and a Bed		Annabelle Kong, Amber Chia, Carmen Soo, Danny Wan, Daniel Tan, Jeffrey Cheng		TV-PG	International TV Shows, Romantic TV Shows, TV Comedies	After graduation, three women from distinct backgrounds find themselves in the real world, facing the challenges of work, romance and unexpected fame.	80136792	2016		1
海的儿子		Li Nanxing, Christopher Lee, Jesseca Liu, Apple Hong, Jeanette Aw		TV-PG	International TV Shows, TV Dramas	Two brothers start a new life in Singapore, where they run into a childhood friend who falls in love with the elder while attracting the younger.	80136789	2016		1
Chambers		Sivan Alyra Rose, Uma Thurman, Tony Goldwyn, Marcus LaVoi, Nicholas Galitzine, Kyanna Simone Simpson, Griffin Powell-Arcand, Lilli Kay, Sarah Mezzanotte, Lilliya Scarlett Reid	United States	TV-MA	TV Horror, TV Mysteries, Teen TV Shows	Haunted by eerie visions and sinister impulses after a heart transplant, a teenager tries to unmask the truth behind her donor's mysterious death.	80210361	2019		1
Street Food			United States	TV-G	Docuseries	Embark on a global cultural journey into street food and discover the stories of the people who create the flavorful dishes.	80244996	2019		1
The Hateful Eight: Extended Version	Quentin Tarantino	Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins, Demián Bichir, Tim Roth, Michael Madsen, Bruce Dern, James Parks	United States	R	TV Shows	Trapped at a stagecoach stop as a storm rages outside, two bounty hunters and an outlaw face a gallery of rogues. Features never-before-seen footage.	80174683	2015		1
I Think You Should Leave with Tim Robinson		Tim Robinson, Andy Samberg, Sam Richardson, Will Forte, Fred Willard, Cecily Strong, Tim Heidecker, Kate Berlant	United States	TV-MA	TV Comedies	There is no such thing as an ordinary interaction in this offbeat sketch comedy series that features a deep roster of guest stars.	80986854	2019		1
Fangbone		Taylor Abrahamse, Colin Doyle, Juan Chioran, Kathleen Laskey, Stacey DePass, Mike Kiss	Canada	TV-Y7	Kids' TV, TV Comedies	Magically transported from far-off Skullbania, a young barbarian teams up with an odd third-grader to protect his homeland from an evil sorcerer.	80170611	2016		1
Life		David Attenborough	United Kingdom, United States, Greece, Italy, Germany	TV-PG	British TV Shows, Docuseries, International TV Shows	Discover the glorious variety of life on Earth and the spectacular and extraordinary tactics animals and plants have developed to stay alive.	70225722	2009		1
Life on Location		David Attenborough	United States	TV-G	British TV Shows, Docuseries, Science & Nature TV	"Members of the BBC's \"Life\" production crew go behind the scenes to explain just what it took to capture key sequences of the program."	70266023	2009		1
Nature's Great Events: Diaries		David Attenborough	United States, United Kingdom	TV-PG	British TV Shows, Docuseries, Science & Nature TV	Look behind the scenes of this wildlife documentary series that examines how animals around the world adapt to chaotic natural phenomena.	80045629	2009		1
Planet Earth: The Complete Collection	Alastair Fothergill	David Attenborough	United Kingdom	TV-PG	British TV Shows, Docuseries, International TV Shows	This landmark series transports nature lovers from the Himalayan Mountains to the depths of the ocean and everywhere in between.	70219642	2006		1
Girlboss		Britt Robertson, Ellie Reed, Johnny Simmons, Alphonso Mcauley	United States	TV-MA	TV Comedies	Rebellious and broke, Sophia stumbles into creating an online business and learns how to be the boss. A comedy inspired by the best-selling memoir.	80115671	2017		1
Hot Girls Wanted: Turned On	Jill Bauer, Ronna Gradus, Rashida Jones		United States	TV-MA	Docuseries	Personal stories reveal how the intersection of sex, technology and intimate relationships is rewiring us in fundamental ways.	80115676	2017		1
A Love So Beautiful		Hu Yitian, Shen Yue, Gao Zhi Ting, Wang Zi Wei, Zhang He Hao Zhen, Sun Ning, Monica Lv		TV-14	International TV Shows, Romantic TV Shows, TV Dramas	The ups and downs of school, family and growing up test the affection between a budding artist and her handsome but indifferent classmate and neighbor.	80239640	2017		1
Club Friday To Be Continued - Friend & Enemy		Wanida Termthanaporn, Apinya Sakuljaroensuk, Golf Pichaya Nitipaisankul, Thassapak Hsu		TV-MA	International TV Shows, Romantic TV Shows, TV Dramas	A love triangle spirals out of control, wreaking havoc on a couple's relationship and a friendship between two women.	80240024	2016		1
Club Friday To Be Continued - The Promise		Jirayu La-ongmanee, Focus Jirakul		TV-MA	International TV Shows, Romantic TV Shows, TV Dramas	Two young lovers vow to stay friends through thick and thin, but separation tests their bond until fate allows them to reunite.	80239865	2016		1
La Piloto		Livia Brito, Juan Eduardo Colucho, Arap Bethke, María Fernanda Yépes, Alejandro Nones, María De La Fuente, Verónica Montes, Natasha Domínguez, María Fernanda García, Mauricio Aspe, Stephanie Salas, Tommy Vasquez, Macarena Achaga	Mexico	TV-MA	Crime TV Shows, International TV Shows, Spanish-Language TV Shows	Dreaming her whole life of becoming a pilot, Yolanda finds work as a flight attendant, unaware she'll soon be thrust into a drug smuggling operation.	80237428	2017		1
KO One		Aaron Yan, Jiro Wang, Calvin Ka-Sing Chen, Danson Tang, Tsai Yi-chen, Alien Huang	Taiwan	TV-MA	International TV Shows, TV Action & Adventure, TV Comedies	Gifted with special powers, fighting skills and slick hair, the rowdy KO One navigates tough friendships and high school romance.	81072829	2005		1
Lunatics		Chris Lilley	Australia	TV-MA	International TV Shows, TV Comedies	This mockumentary series follows the peculiar lives of six eccentric – and sometimes obscene – misfits who march to their own beat.	80198950	2019		1
Rilakkuma and Kaoru		Mikako Tabe, Soki Matsumoto, Takayuki Yamada, Mai Kanazawa, Shigeru Sugimoto, Issei Takubo, Kanako Nishiyama, Yuzuha Kobayashi, Masako Matsuno, Kana Odaira, Hitoshi Honma, Ayano Kinashi	Japan, United States	TV-PG	Anime Series, International TV Shows	Her life might be a little mundane, but Kaoru gets to go home to Rilakkuma, her endearingly lazy roommate who happens to be a fuzzy toy bear.	80196883	2019		1
Charité		Alicia von Rittberg, Maximilian Meyer-Bretschneider, Justus von Dohnányi, Matthias Koeberlin, Christoph Bach, Ernst Stötzner, Klara Deutschmann, Ramona Kunze-Libnow, Daniel Sträßer, Tanja Schleiff, Monika Oschek, Emilia Schüle, Matthias Brenner, Thomas Loibl	Germany	TV-MA	International TV Shows, TV Dramas	At Berlin's Charité hospital in 1888, Ida finds romance, a path to her dream job and an inside look into cures for tuberculosis and diphtheria.	80178971	2017		1
The Adventures of Sonic the Hedgehog		Jaleel White, Long John Baldry, Garry Chalk	United States, Canada	TV-Y	Kids' TV	"Hyper hedgehog Sonic and his cohort Miles \"Tails\" Prower defend the planet Mobius against Dr. Robotnik and his evil schemes in this animated series."	70217161	1993		1
The Chalet		Chloé Lambert, Philippe Dusseau, Emilie de Preissac, Marc Ruchmann, Blanche Veisberg, Eric Savin, Nicolas Gob, Catherine Vinatier, Thierry Godard	France	TV-MA	Crime TV Shows, International TV Shows, TV Dramas	Friends gathered at a remote chalet in the French Alps for a summer getaway are caught in a deadly trap as a dark secret from the past comes to light.	80232914	2018		1
The Honeymoon Stand Up Special		Natasha Leggero, Moshe Kasher	United States	TV-MA	Stand-Up Comedy & Talk Shows, TV Comedies	Impending parenthood does funny things to Natasha Leggero and Moshe Kasher, who dissect family, relationships and more in a trio of stand-up specials.	80213655	2018		1
The Messengers		Shantel VanSanten, Diogo Morgado, JD Pardo, Joel Courtney, Jon Fletcher, Sofia Black D'Elia, Anna Diop, Craig Frank	United States	TV-PG	TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy	A group of strangers who are killed by a mysterious object soon come back to life and learn they have been chosen to prevent the apocalypse.	80027271	2015		1
Star-Crossed		Aimee Teegarden, Matt Lanter, Grey Damon, Malese Jow, Greg Finley, Natalie Hall, Titus Makin Jr., Chelsea Gilligan	United States	TV-14	Romantic TV Shows, TV Dramas, TV Sci-Fi & Fantasy	The passionate love between an alien boy and a human girl grows more and more dangerous as they face the wrath of their families and communities.	70283263	2014		1
Agent Raghav		Sharad Kelkar, Aahana Kumra, Mahesh Manjrekar, Deepali Pansare, Danish Pandor, Jason Tham, Reena Aggarwal, Swati Rajput	India	TV-14	Crime TV Shows, International TV Shows, TV Action & Adventure	A mix of brilliance, erudition and skill enables a modern Sherlock Holmes to solve impossible cases, all while he tries to heal personal wounds.	80122232	2015		1
Bhaage Re Mann		Karuna Pandey, Chandan Anand, Kanika Shivpuri, Ved Thappar, Nupur Alankar, Tarun Mehta, Priya Marathe, Vasundhara Kaul, Ankit Narang, Arshima Thapar	India	TV-14	International TV Shows, Romantic TV Shows, TV Dramas	An impulsive, free-spirited woman who's defied convention for much of her life suddenly finds herself flirting with a classic romance.	80122192	2015		1
Gangs of Hassepur		Ragini Khanna, Mandira Bedi, Tanishaa Mukerji	India	TV-PG	International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies	Training a keen eye on hot-button political topics, this variety show features stand-up comedy, sketches and sarcastic celebrity impersonations.	80122235	2014		1
Maharakshak Devi		Umang Jain, Indraneil Sengupta, Rohit Bakshi, Karan Suchak, Shresth Kumar, Ankit Gera, Rushiraj Pawar, Nikita Sharma, Varun Kapoor, Kamalika Guha Thakurta, Sahil Uppal, Charu Asopa	India	TV-14	International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy	After years spent in isolation, a young girl with extraordinary powers returns to human society to battle dark, mythological beings.	80122191	2015		1
Oddbods		Nadia Ramlee, Chio Su-Ping, Jeremy Linn, Marlon Dance-Hooi	United Kingdom, Singapore	TV-Y	Kids' TV, TV Comedies	Seven furry, colorful friends who live in the small town of Oddsville like to play, have adventures and get into all sorts of creative mischief.	80176265	2017		1
Rosario Tijeras		María Fernanda Yépez, Andrés Sandoval, Sebastian Martinez, Adriana Arango, Juan Felipe Barrientos, Héctor García	Colombia	TV-14	Crime TV Shows, International TV Shows, Spanish-Language TV Shows	This is Rosario's story, a girl born and raised in the city slums who becomes a legend in her own time in spite of her humble upbringing.	70205713	2010		1
Club Friday To Be Continued - My Beautiful Tomboy		Puttichai Kasetsin, Lalana Kongtoranin		TV-MA	International TV Shows, Romantic TV Shows, TV Comedies	A change in sexual identity complicates young Meen's relationships, while memories of a past romance remain fresh.	80240213	2016		1
O-Negative, Love Can’t Be Designed		Jirayu La-ongmanee, Thanapob Leeratanakajorn, Violette Wautier, Supassra Thanachat, Arachaporn Pokinpakorn		TV-MA	International TV Shows, Romantic TV Shows, TV Dramas	Five schoolmates who share a blood type navigate the vagaries of friendship, love and university life.	80239864	2016		1
Huge in France		Gad Elmaleh, Scott Keiji Takeda, Jordan Ver Hoeve, Erinn Hayes, Matthew Del Negro	United States	TV-MA	TV Comedies	Eager to reconnect with his son, French comedy star Gad Elmaleh moves to LA, only to discover that he's left all his fame and celebrity perks behind.	80211621	2019		1
Special		Ryan O'Connell, Jessica Hecht, Punam Patel, Marla Mindelle, Augustus Prew, Patrick Fabian	United States	TV-MA	TV Comedies	A young gay man with cerebral palsy branches out from his insular existence in hopes of finally going after the life he wants.	80987458	2019		1
Black Summer		Jaime King, Justin Chu Cary, Christine Lee, Sal Velez Jr., Kelsey Flower, Erika Hau, Edsson Morales, Gwynyth Walsh, Stafford Perry, Mustafa Alabssi	Canada, United States	TV-MA	TV Action & Adventure, TV Dramas, TV Horror	In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones.	80198988	2019		1
Persona	Lee Kyoungmi, Yim Pilsung, Jeon Go-woon, Kim Jong-kwan	Lee Ji-eun (IU), Bae Doona, Park Hae Soo, Kim Tae-hun, Shim Dal-gi, Lee Sung-wook, Jung Jun Won	South Korea	TV-MA	International TV Shows, Korean TV Shows, TV Dramas	An exploration of different personas in an eclectic collection of four works by critically acclaimed Korean directors.	81044884	2019		1
You vs. Wild		Bear Grylls	United States	TV-PG	Kids' TV, Reality TV, Science & Nature TV	In this interactive series, you'll make key decisions to help Bear Grylls survive, thrive and complete missions in the harshest environments on Earth.	80227574	2019		1
JingleKids				TV-Y7	Kids' TV	In a magical wonderland, merry children and their furry friends explore their unique hobbies while making eye-opening discoveries through adventures.	81072430	2017		1
Kicko & Super Speedo				TV-Y7-FV	Kids' TV, TV Comedies	This high-energy animated series follows a gutsy kid and his trusty race-car pal as they save their city from bad guys and their scary vehicles.	81039073	2018		1
Midnight Misadventures With Mallika Dua		Mallika Dua	India	TV-14	International TV Shows, TV Comedies	In this talk show, comedian Mallika Dua serves up big laughs as Shalishka and whips up a meal with her celebrity pals who dish on their diets and lives.	81066709	2018		1
Peasants Rebellion		Ward El Kal, Aimée Sayah, Bassem Moughnie, Carlos Azar, Sara Abi Kanaan, Wesam Hanna	Lebanon	TV-MA	International TV Shows, TV Dramas	In feudalistic Lebanon, farmers revolt against the nobility under the leadership of a revolutionary figure who champions the oppressed.	81049612	2018		1
Secrets of Great British Castles		Dan Jones	United Kingdom	TV-PG	British TV Shows, Docuseries, International TV Shows	Join historian Dan Jones on a journey back in time to the zenith of Britain's most iconic structures and their infamous inhabitants.	80095866	2016		1
